Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County Name,Population
2003,0,Total,0,Total,0,Total,3,Bronx,1363198
2003,0,Total,0,Total,1,White Non Hispanic,3,Bronx,179554
2003,0,Total,0,Total,2,Black Non Hispanic,3,Bronx,434154
2003,0,Total,0,Total,3,Other Non Hispanic,3,Bronx,50183
2003,0,Total,0,Total,5,Hispanic,3,Bronx,699307
2003,0,Total,1,Male,0,Total,3,Bronx,637719
2003,0,Total,1,Male,1,White Non Hispanic,3,Bronx,84949
2003,0,Total,1,Male,2,Black Non Hispanic,3,Bronx,197508
2003,0,Total,1,Male,3,Other Non Hispanic,3,Bronx,24791
2003,0,Total,1,Male,5,Hispanic,3,Bronx,330471
2003,0,Total,2,Female,0,Total,3,Bronx,725479
2003,0,Total,2,Female,1,White Non Hispanic,3,Bronx,94605
2003,0,Total,2,Female,2,Black Non Hispanic,3,Bronx,236646
2003,0,Total,2,Female,3,Other Non Hispanic,3,Bronx,25392
2003,0,Total,2,Female,5,Hispanic,3,Bronx,368836
2003,1,<1,0,Total,0,Total,3,Bronx,24752
2003,1,<1,0,Total,1,White Non Hispanic,3,Bronx,1802
2003,1,<1,0,Total,2,Black Non Hispanic,3,Bronx,8325
2003,1,<1,0,Total,3,Other Non Hispanic,3,Bronx,661
2003,1,<1,0,Total,5,Hispanic,3,Bronx,13964
2003,1,<1,1,Male,0,Total,3,Bronx,12484
2003,1,<1,1,Male,1,White Non Hispanic,3,Bronx,932
2003,1,<1,1,Male,2,Black Non Hispanic,3,Bronx,4208
2003,1,<1,1,Male,3,Other Non Hispanic,3,Bronx,337
2003,1,<1,1,Male,5,Hispanic,3,Bronx,7007
2003,1,<1,2,Female,0,Total,3,Bronx,12268
2003,1,<1,2,Female,1,White Non Hispanic,3,Bronx,870
2003,1,<1,2,Female,2,Black Non Hispanic,3,Bronx,4117
2003,1,<1,2,Female,3,Other Non Hispanic,3,Bronx,324
2003,1,<1,2,Female,5,Hispanic,3,Bronx,6957
2003,2,01-09,0,Total,0,Total,3,Bronx,198637
2003,2,01-09,0,Total,1,White Non Hispanic,3,Bronx,14385
2003,2,01-09,0,Total,2,Black Non Hispanic,3,Bronx,62606
2003,2,01-09,0,Total,3,Other Non Hispanic,3,Bronx,6435
2003,2,01-09,0,Total,5,Hispanic,3,Bronx,115211
2003,2,01-09,1,Male,0,Total,3,Bronx,101051
2003,2,01-09,1,Male,1,White Non Hispanic,3,Bronx,7462
2003,2,01-09,1,Male,2,Black Non Hispanic,3,Bronx,31721
2003,2,01-09,1,Male,3,Other Non Hispanic,3,Bronx,3257
2003,2,01-09,1,Male,5,Hispanic,3,Bronx,58611
2003,2,01-09,2,Female,0,Total,3,Bronx,97586
2003,2,01-09,2,Female,1,White Non Hispanic,3,Bronx,6923
2003,2,01-09,2,Female,2,Black Non Hispanic,3,Bronx,30885
2003,2,01-09,2,Female,3,Other Non Hispanic,3,Bronx,3178
2003,2,01-09,2,Female,5,Hispanic,3,Bronx,56600
