Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County Name,Population
2003,0,Total,0,Total,0,Total,4,Kings,2472523
2003,0,Total,0,Total,1,White Non Hispanic,4,Kings,861512
2003,0,Total,0,Total,2,Black Non Hispanic,4,Kings,882768
2003,0,Total,0,Total,3,Other Non Hispanic,4,Kings,225148
2003,0,Total,0,Total,5,Hispanic,4,Kings,503095
2003,0,Total,1,Male,0,Total,4,Kings,1162696
2003,0,Total,1,Male,1,White Non Hispanic,4,Kings,415193
2003,0,Total,1,Male,2,Black Non Hispanic,4,Kings,388627
2003,0,Total,1,Male,3,Other Non Hispanic,4,Kings,114294
2003,0,Total,1,Male,5,Hispanic,4,Kings,244582
2003,0,Total,2,Female,0,Total,4,Kings,1309827
2003,0,Total,2,Female,1,White Non Hispanic,4,Kings,446319
2003,0,Total,2,Female,2,Black Non Hispanic,4,Kings,494141
2003,0,Total,2,Female,3,Other Non Hispanic,4,Kings,110854
2003,0,Total,2,Female,5,Hispanic,4,Kings,258513
2003,1,<1,0,Total,0,Total,4,Kings,40340
2003,1,<1,0,Total,1,White Non Hispanic,4,Kings,12217
2003,1,<1,0,Total,2,Black Non Hispanic,4,Kings,14658
2003,1,<1,0,Total,3,Other Non Hispanic,4,Kings,3493
2003,1,<1,0,Total,5,Hispanic,4,Kings,9972
2003,1,<1,1,Male,0,Total,4,Kings,20636
2003,1,<1,1,Male,1,White Non Hispanic,4,Kings,6336
2003,1,<1,1,Male,2,Black Non Hispanic,4,Kings,7417
2003,1,<1,1,Male,3,Other Non Hispanic,4,Kings,1798
2003,1,<1,1,Male,5,Hispanic,4,Kings,5085
2003,1,<1,2,Female,0,Total,4,Kings,19704
2003,1,<1,2,Female,1,White Non Hispanic,4,Kings,5881
2003,1,<1,2,Female,2,Black Non Hispanic,4,Kings,7241
2003,1,<1,2,Female,3,Other Non Hispanic,4,Kings,1695
2003,1,<1,2,Female,5,Hispanic,4,Kings,4887
2003,2,01-09,0,Total,0,Total,4,Kings,318129
2003,2,01-09,0,Total,1,White Non Hispanic,4,Kings,93172
2003,2,01-09,0,Total,2,Black Non Hispanic,4,Kings,119136
2003,2,01-09,0,Total,3,Other Non Hispanic,4,Kings,27475
2003,2,01-09,0,Total,5,Hispanic,4,Kings,78346
2003,2,01-09,1,Male,0,Total,4,Kings,162716
2003,2,01-09,1,Male,1,White Non Hispanic,4,Kings,48300
2003,2,01-09,1,Male,2,Black Non Hispanic,4,Kings,60346
2003,2,01-09,1,Male,3,Other Non Hispanic,4,Kings,14160
2003,2,01-09,1,Male,5,Hispanic,4,Kings,39910
2003,2,01-09,2,Female,0,Total,4,Kings,155413
2003,2,01-09,2,Female,1,White Non Hispanic,4,Kings,44872
2003,2,01-09,2,Female,2,Black Non Hispanic,4,Kings,58790
2003,2,01-09,2,Female,3,Other Non Hispanic,4,Kings,13315
2003,2,01-09,2,Female,5,Hispanic,4,Kings,38436
2003,3,10-19,0,Total,0,Total,4,Kings,343738
2003,3,10-19,0,Total,1,White Non Hispanic,4,Kings,95093
2003,3,10-19,0,Total,2,Black Non Hispanic,4,Kings,140143
2003,3,10-19,0,Total,3,Other Non Hispanic,4,Kings,28466
2003,3,10-19,0,Total,5,Hispanic,4,Kings,80036
2003,3,10-19,1,Male,0,Total,4,Kings,175165
