Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County Name,Population
2003,0,Total,0,Total,0,Total,5,New York,1564798
2003,0,Total,0,Total,1,White Non Hispanic,5,New York,728961
2003,0,Total,0,Total,2,Black Non Hispanic,5,New York,237515
2003,0,Total,0,Total,3,Other Non Hispanic,5,New York,170065
2003,0,Total,0,Total,5,Hispanic,5,New York,428257
2003,0,Total,1,Male,0,Total,5,New York,745267
2003,0,Total,1,Male,1,White Non Hispanic,5,New York,351481
2003,0,Total,1,Male,2,Black Non Hispanic,5,New York,108827
2003,0,Total,1,Male,3,Other Non Hispanic,5,New York,79982
2003,0,Total,1,Male,5,Hispanic,5,New York,204977
2003,0,Total,2,Female,0,Total,5,New York,819531
2003,0,Total,2,Female,1,White Non Hispanic,5,New York,377480
2003,0,Total,2,Female,2,Black Non Hispanic,5,New York,128688
2003,0,Total,2,Female,3,Other Non Hispanic,5,New York,90083
2003,0,Total,2,Female,5,Hispanic,5,New York,223280
2003,1,<1,0,Total,0,Total,5,New York,20343
2003,1,<1,0,Total,1,White Non Hispanic,5,New York,7223
2003,1,<1,0,Total,2,Black Non Hispanic,5,New York,3504
2003,1,<1,0,Total,3,Other Non Hispanic,5,New York,2234
2003,1,<1,0,Total,5,Hispanic,5,New York,7382
2003,1,<1,1,Male,0,Total,5,New York,10349
2003,1,<1,1,Male,1,White Non Hispanic,5,New York,3676
2003,1,<1,1,Male,2,Black Non Hispanic,5,New York,1774
2003,1,<1,1,Male,3,Other Non Hispanic,5,New York,1170
2003,1,<1,1,Male,5,Hispanic,5,New York,3729
2003,1,<1,2,Female,0,Total,5,New York,9994
2003,1,<1,2,Female,1,White Non Hispanic,5,New York,3547
2003,1,<1,2,Female,2,Black Non Hispanic,5,New York,1730
2003,1,<1,2,Female,3,Other Non Hispanic,5,New York,1064
2003,1,<1,2,Female,5,Hispanic,5,New York,3653
2003,2,01-09,0,Total,0,Total,5,New York,142867
2003,2,01-09,0,Total,1,White Non Hispanic,5,New York,47446
2003,2,01-09,0,Total,2,Black Non Hispanic,5,New York,26488
2003,2,01-09,0,Total,3,Other Non Hispanic,5,New York,13825
2003,2,01-09,0,Total,5,Hispanic,5,New York,55108
2003,2,01-09,1,Male,0,Total,5,New York,73048
2003,2,01-09,1,Male,1,White Non Hispanic,5,New York,24324
2003,2,01-09,1,Male,2,Black Non Hispanic,5,New York,13588
2003,2,01-09,1,Male,3,Other Non Hispanic,5,New York,7005
2003,2,01-09,1,Male,5,Hispanic,5,New York,28131
2003,2,01-09,2,Female,0,Total,5,New York,69819
2003,2,01-09,2,Female,1,White Non Hispanic,5,New York,23122
2003,2,01-09,2,Female,2,Black Non Hispanic,5,New York,12900
2003,2,01-09,2,Female,3,Other Non Hispanic,5,New York,6820
2003,2,01-09,2,Female,5,Hispanic,5,New York,26977
2003,3,10-19,0,Total,0,Total,5,New York,146289
2003,3,10-19,0,Total,1,White Non Hispanic,5,New York,39562
2003,3,10-19,0,Total,2,Black Non Hispanic,5,New York,31698
