Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County Name,Population
2003,0,Total,0,Total,0,Total,2,New York City,8085742
2003,0,Total,0,Total,1,White Non Hispanic,2,New York City,2796290
2003,0,Total,0,Total,2,Black Non Hispanic,2,New York City,2050128
2003,0,Total,0,Total,3,Other Non Hispanic,2,New York City,959316
2003,0,Total,0,Total,5,Hispanic,2,New York City,2280008
2003,0,Total,1,Male,0,Total,2,New York City,3843576
2003,0,Total,1,Male,1,White Non Hispanic,2,New York City,1344169
2003,0,Total,1,Male,2,Black Non Hispanic,2,New York City,918370
2003,0,Total,1,Male,3,Other Non Hispanic,2,New York City,476658
2003,0,Total,1,Male,5,Hispanic,2,New York City,1104379
2003,0,Total,2,Female,0,Total,2,New York City,4242166
2003,0,Total,2,Female,1,White Non Hispanic,2,New York City,1452121
2003,0,Total,2,Female,2,Black Non Hispanic,2,New York City,1131758
2003,0,Total,2,Female,3,Other Non Hispanic,2,New York City,482658
2003,0,Total,2,Female,5,Hispanic,2,New York City,1175629
2003,1,<1,0,Total,0,Total,2,New York City,121436
2003,1,<1,0,Total,1,White Non Hispanic,2,New York City,31414
2003,1,<1,0,Total,2,Black Non Hispanic,2,New York City,33921
2003,1,<1,0,Total,3,Other Non Hispanic,2,New York City,13516
2003,1,<1,0,Total,5,Hispanic,2,New York City,42585
2003,1,<1,1,Male,0,Total,2,New York City,62039
2003,1,<1,1,Male,1,White Non Hispanic,2,New York City,16137
2003,1,<1,1,Male,2,Black Non Hispanic,2,New York City,17169
2003,1,<1,1,Male,3,Other Non Hispanic,2,New York City,7013
2003,1,<1,1,Male,5,Hispanic,2,New York City,21720
2003,1,<1,2,Female,0,Total,2,New York City,59397
2003,1,<1,2,Female,1,White Non Hispanic,2,New York City,15277
2003,1,<1,2,Female,2,Black Non Hispanic,2,New York City,16752
2003,1,<1,2,Female,3,Other Non Hispanic,2,New York City,6503
2003,1,<1,2,Female,5,Hispanic,2,New York City,20865
2003,2,01-09,0,Total,0,Total,2,New York City,961172
2003,2,01-09,0,Total,1,White Non Hispanic,2,New York City,244485
2003,2,01-09,0,Total,2,Black Non Hispanic,2,New York City,271214
2003,2,01-09,0,Total,3,Other Non Hispanic,2,New York City,106109
