Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County Name,Population
2003,0,Total,0,Total,0,Total,6,Queens,2225486
2003,0,Total,0,Total,1,White Non Hispanic,6,Queens,710467
2003,0,Total,0,Total,2,Black Non Hispanic,6,Queens,450119
2003,0,Total,0,Total,3,Other Non Hispanic,6,Queens,481353
2003,0,Total,0,Total,5,Hispanic,6,Queens,583547
2003,0,Total,1,Male,0,Total,6,Queens,1074998
2003,0,Total,1,Male,1,White Non Hispanic,6,Queens,339746
2003,0,Total,1,Male,2,Black Non Hispanic,6,Queens,202369
2003,0,Total,1,Male,3,Other Non Hispanic,6,Queens,241428
2003,0,Total,1,Male,5,Hispanic,6,Queens,291455
2003,0,Total,2,Female,0,Total,6,Queens,1150488
2003,0,Total,2,Female,1,White Non Hispanic,6,Queens,370721
2003,0,Total,2,Female,2,Black Non Hispanic,6,Queens,247750
2003,0,Total,2,Female,3,Other Non Hispanic,6,Queens,239925
2003,0,Total,2,Female,5,Hispanic,6,Queens,292092
2003,1,<1,0,Total,0,Total,6,Queens,30535
2003,1,<1,0,Total,1,White Non Hispanic,6,Queens,6932
2003,1,<1,0,Total,2,Black Non Hispanic,6,Queens,6676
2003,1,<1,0,Total,3,Other Non Hispanic,6,Queens,6752
2003,1,<1,0,Total,5,Hispanic,6,Queens,10175
2003,1,<1,1,Male,0,Total,6,Queens,15804
2003,1,<1,1,Male,1,White Non Hispanic,6,Queens,3556
2003,1,<1,1,Male,2,Black Non Hispanic,6,Queens,3430
2003,1,<1,1,Male,3,Other Non Hispanic,6,Queens,3510
2003,1,<1,1,Male,5,Hispanic,6,Queens,5308
2003,1,<1,2,Female,0,Total,6,Queens,14731
2003,1,<1,2,Female,1,White Non Hispanic,6,Queens,3376
2003,1,<1,2,Female,2,Black Non Hispanic,6,Queens,3246
2003,1,<1,2,Female,3,Other Non Hispanic,6,Queens,3242
2003,1,<1,2,Female,5,Hispanic,6,Queens,4867
2003,2,01-09,0,Total,0,Total,6,Queens,248469
2003,2,01-09,0,Total,1,White Non Hispanic,6,Queens,57620
2003,2,01-09,0,Total,2,Black Non Hispanic,6,Queens,55798
2003,2,01-09,0,Total,3,Other Non Hispanic,6,Queens,54924
2003,2,01-09,0,Total,5,Hispanic,6,Queens,80127
2003,2,01-09,1,Male,0,Total,6,Queens,127257
2003,2,01-09,1,Male,1,White Non Hispanic,6,Queens,29604
2003,2,01-09,1,Male,2,Black Non Hispanic,6,Queens,28282
2003,2,01-09,1,Male,3,Other Non Hispanic,6,Queens,28180
2003,2,01-09,1,Male,5,Hispanic,6,Queens,41191
2003,2,01-09,2,Female,0,Total,6,Queens,121212
2003,2,01-09,2,Female,1,White Non Hispanic,6,Queens,28016
2003,2,01-09,2,Female,2,Black Non Hispanic,6,Queens,27516
2003,2,01-09,2,Female,3,Other Non Hispanic,6,Queens,26744
2003,2,01-09,2,Female,5,Hispanic,6,Queens,38936
2003,3,10-19,0,Total,0,Total,6,Queens,262917
2003,3,10-19,0,Total,1,White Non Hispanic,6,Queens,60574
2003,3,10-19,0,Total,2,Black Non Hispanic,6,Queens,67067
2003,3,10-19,0,Total,3,Other Non Hispanic,6,Queens,55994
2003,3,10-19,0,Total,5,Hispanic,6,Queens,79282
2003,3,10-19,1,Male,0,Total,6,Queens,134666
2003,3,10-19,1,Male,1,White Non Hispanic,6,Queens,31375
2003,3,10-19,1,Male,2,Black Non Hispanic,6,Queens,33518
2003,3,10-19,1,Male,3,Other Non Hispanic,6,Queens,29307
2003,3,10-19,1,Male,5,Hispanic,6,Queens,40466
2003,3,10-19,2,Female,0,Total,6,Queens,128251
2003,3,10-19,2,Female,1,White Non Hispanic,6,Queens,29199
2003,3,10-19,2,Female,2,Black Non Hispanic,6,Queens,33549
2003,3,10-19,2,Female,3,Other Non Hispanic,6,Queens,26687
2003,3,10-19,2,Female,5,Hispanic,6,Queens,38816
2003,4,20-24,0,Total,0,Total,6,Queens,147439
2003,4,20-24,0,Total,1,White Non Hispanic,6,Queens,33336
2003,4,20-24,0,Total,2,Black Non Hispanic,6,Queens,31976
2003,4,20-24,0,Total,3,Other Non Hispanic,6,Queens,31999
2003,4,20-24,0,Total,5,Hispanic,6,Queens,50128
2003,4,20-24,1,Male,0,Total,6,Queens,75698
2003,4,20-24,1,Male,1,White Non Hispanic,6,Queens,17017
2003,4,20-24,1,Male,2,Black Non Hispanic,6,Queens,15207
2003,4,20-24,1,Male,3,Other Non Hispanic,6,Queens,16176
2003,4,20-24,1,Male,5,Hispanic,6,Queens,27298
2003,4,20-24,2,Female,0,Total,6,Queens,71741
2003,4,20-24,2,Female,1,White Non Hispanic,6,Queens,16319
2003,4,20-24,2,Female,2,Black Non Hispanic,6,Queens,16769
2003,4,20-24,2,Female,3,Other Non Hispanic,6,Queens,15823
2003,4,20-24,2,Female,5,Hispanic,6,Queens,22830
2003,5,25-34,0,Total,0,Total,6,Queens,358438
2003,5,25-34,0,Total,1,White Non Hispanic,6,Queens,97791
2003,5,25-34,0,Total,2,Black Non Hispanic,6,Queens,60867
2003,5,25-34,0,Total,3,Other Non Hispanic,6,Queens,87478
2003,5,25-34,0,Total,5,Hispanic,6,Queens,112302
2003,5,25-34,1,Male,0,Total,6,Queens,179808
2003,5,25-34,1,Male,1,White Non Hispanic,6,Queens,49972
2003,5,25-34,1,Male,2,Black Non Hispanic,6,Queens,27248
2003,5,25-34,1,Male,3,Other Non Hispanic,6,Queens,42770
2003,5,25-34,1,Male,5,Hispanic,6,Queens,59818
2003,5,25-34,2,Female,0,Total,6,Queens,178630
2003,5,25-34,2,Female,1,White Non Hispanic,6,Queens,47819
2003,5,25-34,2,Female,2,Black Non Hispanic,6,Queens,33619
