Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County Name,Population
2003,0,Total,0,Total,0,Total,7,Richmond,459737
2003,0,Total,0,Total,1,White Non Hispanic,7,Richmond,315796
2003,0,Total,0,Total,2,Black Non Hispanic,7,Richmond,45572
2003,0,Total,0,Total,3,Other Non Hispanic,7,Richmond,32567
2003,0,Total,0,Total,5,Hispanic,7,Richmond,65802
2003,0,Total,1,Male,0,Total,7,Richmond,222896
2003,0,Total,1,Male,1,White Non Hispanic,7,Richmond,152800
2003,0,Total,1,Male,2,Black Non Hispanic,7,Richmond,21039
2003,0,Total,1,Male,3,Other Non Hispanic,7,Richmond,16163
2003,0,Total,1,Male,5,Hispanic,7,Richmond,32894
2003,0,Total,2,Female,0,Total,7,Richmond,236841
2003,0,Total,2,Female,1,White Non Hispanic,7,Richmond,162996
2003,0,Total,2,Female,2,Black Non Hispanic,7,Richmond,24533
2003,0,Total,2,Female,3,Other Non Hispanic,7,Richmond,16404
2003,0,Total,2,Female,5,Hispanic,7,Richmond,32908
2003,1,<1,0,Total,0,Total,7,Richmond,5466
2003,1,<1,0,Total,1,White Non Hispanic,7,Richmond,3240
2003,1,<1,0,Total,2,Black Non Hispanic,7,Richmond,758
2003,1,<1,0,Total,3,Other Non Hispanic,7,Richmond,376
2003,1,<1,0,Total,5,Hispanic,7,Richmond,1092
2003,1,<1,1,Male,0,Total,7,Richmond,2766
2003,1,<1,1,Male,1,White Non Hispanic,7,Richmond,1637
2003,1,<1,1,Male,2,Black Non Hispanic,7,Richmond,340
2003,1,<1,1,Male,3,Other Non Hispanic,7,Richmond,198
2003,1,<1,1,Male,5,Hispanic,7,Richmond,591
2003,1,<1,2,Female,0,Total,7,Richmond,2700
2003,1,<1,2,Female,1,White Non Hispanic,7,Richmond,1603
2003,1,<1,2,Female,2,Black Non Hispanic,7,Richmond,418
2003,1,<1,2,Female,3,Other Non Hispanic,7,Richmond,178
2003,1,<1,2,Female,5,Hispanic,7,Richmond,501
2003,2,01-09,0,Total,0,Total,7,Richmond,53070
2003,2,01-09,0,Total,1,White Non Hispanic,7,Richmond,31862
2003,2,01-09,0,Total,2,Black Non Hispanic,7,Richmond,7186
2003,2,01-09,0,Total,3,Other Non Hispanic,7,Richmond,3450
2003,2,01-09,0,Total,5,Hispanic,7,Richmond,10572
2003,2,01-09,1,Male,0,Total,7,Richmond,27135
2003,2,01-09,1,Male,1,White Non Hispanic,7,Richmond,16434
2003,2,01-09,1,Male,2,Black Non Hispanic,7,Richmond,3595
2003,2,01-09,1,Male,3,Other Non Hispanic,7,Richmond,1741
2003,2,01-09,1,Male,5,Hispanic,7,Richmond,5365
2003,2,01-09,2,Female,0,Total,7,Richmond,25935
2003,2,01-09,2,Female,1,White Non Hispanic,7,Richmond,15428
2003,2,01-09,2,Female,2,Black Non Hispanic,7,Richmond,3591
2003,2,01-09,2,Female,3,Other Non Hispanic,7,Richmond,1709
