year,pct,sex,race,age,build,city,crimsusp
2014,67,M,B,18,M,BROOKLYN,FEL
2014,7,M,B,31,M,MANHATTAN,CRIMINAL MISCHIEF
2014,84,M,B,16,T,BROOKLYN,GRAND LARCENY (FEL)
2014,84,M,A,19,Z,BROOKLYN,CRIM TRESPASS
2014,77,M,B,32,U,BROOKLYN,FEL
2014,44,M,B,22,M,BRONX,CPW (GRAVITY KNIFE)
2014,66,M,B,32,T,BROOKLYN,FEL
2014,79,M,B,49,Z,BROOKLYN,PL 140.10E
2014,52,M,Q,24,M,BRONX,FELONY
2014,63,M,B,41,M,BROOKLYN,FEL
2014,70,M,B,39,H,BROOKLYN,FELONY/BURG
2014,70,M,B,30,T,BROOKLYN,MIS/CPW
2014,106,M,Q,20,T,QUEENS,MISD
2014,67,M,B,22,M,BROOKLYN,MISD
2014,67,M,B,1,M,BROOKLYN,MISD
2014,110,M,Q,48,M,QUEENS,CRIMINAL MISCHIEF
2014,5,M,B,17,M,MANHATTAN,MISD
2014,103,M,A,23,M,QUEENS,GLA
2014,42,M,Q,34,M,BRONX,MISD
2014,90,M,Q,20,M,BROOKLYN,FEL
2014,69,M,B,22,T,BROOKLYN,MISD
2014,61,M,W,17,T,BROOKLYN,MIS
2014,108,M,Q,30,M,QUEENS,FELONY
2014,61,M,B,50,M,BROOKLYN,MISD
2014,101,M,P,31,M,QUEENS,FEL
2014,79,M,B,20,T,BROOKLYN,CPW
2014,79,M,B,26,M,BROOKLYN,FELONY
2014,79,M,B,27,M,BROOKLYN,MISD
2014,79,M,B,27,M,BROOKLYN,MISD
2014,41,M,Q,17,T,BRONX,CPW
2014,46,M,B,35,M,BRONX,CPW
2014,120,M,B,17,T,STATEN ISLAND,CPW
2014,88,M,B,51,M,BROOKLYN,CPW
2014,76,M,B,24,M,BROOKLYN,FEL
2014,81,M,B,31,M,BROOKLYN,ASSAULT
2014,79,M,B,28,M,BROOKLYN,FELONY
