year,pct,arstmade,frisked,searched,sex,race,age,build,city,crimsusp,arstoffn
2015,61,N,Y,N,M,W,33,M,BROOKLYN,FELONY, 
2015,22,N,Y,N,M,B,14,T,MANHATTAN,FELONY, 
2015,20,N,N,N,M,B,14,T,MANHATTAN,MISD, 
2015,20,N,N,N,M,B,14,M,MANHATTAN,MIDS, 
2015,20,N,N,N,M,B,13,M,MANHATTAN,MISD, 
2015,20,N,N,N,M,W,13,M,MANHATTAN,MISD, 
2015,67,N,Y,N,M,B,25,T,BROOKLYN,FEL, 
2015,7,N,Y,N,M,B,15,T,MANHATTAN,FEL, 
2015,7,N,Y,N,M,B,23,T,MANHATTAN,FEL, 
2015,68,N,N,N,M,W,16,M,BROOKLYN,FEONY, 
2015,70,N,Y,N,M,B,30,M,BROOKLYN,FELONY/ROBBERY, 
2015,75,N,Y,N,M,B,18,T,BROOKLYN,ROBBERY, 
2015,14,N,Y,N,M,Q,48,T,MANHATTAN,FEL, 
2015,121,N,Y,N,M,B,16,T,STATEN IS,FELONY, 
2015,25,Y,Y,Y,M,B,26,T,MANHATTAN,MISD,240.2
2015,25,N,N,N,M,B,14,T,MANHATTAN,ASSAULT, 
2015,14,N,Y,N,M,B,26,T,MANHATTAN,MISD, 
2015,114,N,Y,N,M,Q,23,T,QUEENS,FEL, 
2015,33,Y,Y,Y,M,P,19,T,MANHATTAN,FELONY,265.02
2015,32,N,Y,N,F,B,99,M,MANHATTAN,CPW FIREARM/ASSULAT 1, 
2015,79,N,Y,N,Z,Z,24,T,BROOKLYN,ROBBERY, 
2015,66,N,Y,N,M,Q,23,M,BROOKLYN,FEL, 
2015,66,N,Y,N,M,Q,22,M,BROOKLYN,FEL, 
2015,66,N,Y,N,M,Q,24,M,BROOKLYN,FEL, 
2015,114,N,Y,N,F,Q,32,M,QUEENS,FEL, 
2015,114,N,Y,N,M,W,35,M,QUEENS,FEL, 
2015,70,N,Y,N,M,W,33,T,BROOKLYN,FEL, 
2015,106,N,N,N,M,A,39,T,QUEENS,FELONY, 
2015,40,N,Y,N,M,B,20,U,BRONX,FEL, 
2015,18,N,N,N,M,B,30,T,MANHATTAN,MISD, 
2015,20,N,N,N,M,B,35,M,MANHATTAN,MISD, 
2015,70,N,Y,N,M,B,20,M,BROOKLYN,FELONY/CPW, 
2015,41,N,N,N,M,P,44,M,BRONX,GLA, 
2015,41,N,N,N,Z,Z,32,M,BRONX,GLA, 
2015,75,N,N,N,F,Q,42,M,BROOKLYN,CPW, 
2015,75,N,Y,N,M,Q,20,T,BROOKLYN,CPW, 
2015,75,N,Y,N,M,Q,48,H,BROOKLYN,CPW, 
2015,33,N,Y,N,M,P,23,M,MANHATTAN,FELONY, 
